id,Age
74051,7.5
74052,7.85
74053,10.2
74054,9.82
74055,7.54
74056,12.18
74057,11.51
74058,8.06
74059,11.77
74060,10.26
74061,12.13
74062,10.46
74063,4.23
74064,12.44
74065,5.44
74066,6.16
74067,11.44
74068,12.38
74069,10.78
74070,10.68
74071,14.88
74072,9.16
74073,8.79
74074,9.42
74075,11.89
74076,9.73
74077,12.61
74078,10.98
74079,8.94
74080,11.69
74081,10.91
74082,11.03
74083,10.77
74084,12.12
74085,11.14
74086,7.1
74087,9.63
74088,11.51
74089,8.73
74090,10.32
74091,7.67
74092,9.85
74093,10.75
74094,10.04
74095,15.71
74096,11.7
74097,6.4
74098,6.18
74099,12.1
74100,10.2
74101,11.75
74102,9.45
74103,11.89
74104,9.78
74105,8.85
74106,11.67
74107,9.46
74108,5.01
74109,10.21
74110,5.48
74111,11.05
74112,6.96
74113,8.61
74114,10.88
74115,9.95
74116,10.92
74117,13.02
74118,9.85
74119,8.81
74120,14.87
74121,9.78
74122,6.93
74123,12.0
74124,4.9
74125,7.34
74126,7.3
74127,10.82
74128,10.7
74129,9.0
74130,10.39
74131,10.81
74132,7.71
74133,10.37
74134,11.22
74135,4.41
74136,6.44
74137,5.42
74138,15.02
74139,10.94
74140,13.8
74141,9.55
74142,10.85
74143,14.28
74144,12.97
74145,11.11
74146,7.96
74147,10.29
74148,5.54
74149,10.7
74150,7.94
74151,9.3
74152,13.21
74153,11.29
74154,8.48
74155,6.42
74156,12.06
74157,10.84
74158,12.35
74159,10.43
74160,12.97
74161,9.85
74162,10.2
74163,10.1
74164,9.72
74165,10.52
74166,9.33
74167,11.77
74168,10.92
74169,11.34
74170,10.79
74171,12.24
74172,11.28
74173,7.33
74174,11.75
74175,9.89
74176,9.36
74177,11.22
74178,12.6
74179,12.1
74180,5.84
74181,8.66
74182,10.81
74183,7.36
74184,11.64
74185,12.0
74186,9.93
74187,9.89
74188,12.11
74189,6.0
74190,9.44
74191,10.56
74192,11.42
74193,9.06
74194,4.13
74195,12.07
74196,11.6
74197,10.27
74198,6.65
74199,10.12
74200,10.86
74201,8.3
74202,11.83
74203,10.98
74204,10.84
74205,9.9
74206,9.46
74207,9.22
74208,12.12
74209,14.48
74210,10.55
74211,7.54
74212,9.19
74213,11.05
74214,12.32
74215,8.8
74216,7.34
74217,14.83
74218,11.37
74219,8.38
74220,14.05
74221,8.46
74222,10.37
74223,9.9
74224,8.13
74225,10.87
74226,9.95
74227,11.61
74228,4.31
74229,11.7
74230,10.9
74231,7.98
74232,11.02
74233,6.38
74234,9.7
74235,11.85
74236,8.17
74237,9.44
74238,10.71
74239,6.38
74240,7.57
74241,7.88
74242,12.45
74243,10.57
74244,6.88
74245,10.37
74246,10.36
74247,8.58
74248,9.25
74249,15.0
74250,10.97
74251,12.94
74252,8.03
74253,11.06
74254,10.71
74255,10.42
74256,11.04
74257,12.05
74258,4.36
74259,11.03
74260,8.84
74261,7.05
74262,4.67
74263,11.78
74264,9.71
74265,11.88
74266,8.52
74267,10.77
74268,6.96
74269,7.82
74270,9.01
74271,11.07
74272,14.78
74273,7.0
74274,12.1
74275,8.92
74276,8.01
74277,8.9
74278,14.05
74279,10.87
74280,11.12
74281,14.23
74282,11.52
74283,10.49
74284,7.89
74285,7.38
74286,10.84
74287,10.91
74288,12.06
74289,8.01
74290,10.87
74291,11.24
74292,9.56
74293,8.14
74294,10.75
74295,12.61
74296,11.44
74297,11.05
74298,13.15
74299,11.35
74300,10.27
74301,10.56
74302,10.24
74303,9.08
74304,11.84
74305,9.06
74306,8.68
74307,7.99
74308,11.22
74309,10.19
74310,15.31
74311,8.21
74312,12.73
74313,11.6
74314,10.79
74315,9.23
74316,10.47
74317,10.24
74318,11.78
74319,12.27
74320,7.7
74321,9.38
74322,11.48
74323,11.25
74324,11.29
74325,8.75
74326,9.86
74327,10.02
74328,11.17
74329,9.41
74330,8.09
74331,5.64
74332,10.66
74333,12.41
74334,11.6
74335,11.26
74336,8.93
74337,9.54
74338,9.66
74339,9.87
74340,8.7
74341,8.66
74342,8.39
74343,8.2
74344,10.08
74345,10.53
74346,7.37
74347,13.04
74348,10.13
74349,9.22
74350,11.01
74351,12.31
74352,12.72
74353,10.03
74354,11.92
74355,6.9
74356,6.12
74357,9.79
74358,7.06
74359,8.22
74360,9.09
74361,10.86
74362,8.5
74363,9.88
74364,10.21
74365,5.44
74366,5.49
74367,7.58
74368,8.41
74369,9.34
74370,11.81
74371,10.91
74372,10.39
74373,10.67
74374,9.33
74375,7.29
74376,11.08
74377,9.97
74378,13.62
74379,12.34
74380,9.83
74381,9.38
74382,11.11
74383,8.05
74384,9.62
74385,9.81
74386,13.06
74387,10.76
74388,7.47
74389,9.46
74390,6.66
74391,8.38
74392,9.34
74393,11.97
74394,8.54
74395,9.86
74396,9.94
74397,7.32
74398,9.86
74399,11.32
74400,12.17
74401,9.42
74402,9.07
74403,11.07
74404,7.19
74405,14.64
74406,5.36
74407,9.48
74408,10.09
74409,12.78
74410,9.65
74411,10.9
74412,10.61
74413,9.98
74414,12.75
74415,13.56
74416,9.97
74417,14.56
74418,9.12
74419,11.1
74420,10.68
74421,9.27
74422,5.12
74423,9.84
74424,8.35
74425,7.37
